Industry,Symbol
Luxury Goods,0256.HK
Waste Management,0257.HK
Real Estate—Diversified,0258.HK
Electronic Components,0259.HK
Conglomerates,0260.HK
Real Estate—Diversified,0261.HK
Real Estate—Development,0262.HK
Footwear & Accessories,0264.HK
Travel Services,0265.HK
Real Estate Services,0266.HK
Conglomerates,0267.HK
Software—Application,0268.HK
Infrastructure Operations,0269.HK
Utilities—Regulated Water,0270.HK
Real Estate Services,0271.HK
Real Estate—Development,0272.HK
Asset Management,0273.HK
Gold,0274.HK
Coking Coal,0276.HK
Real Estate Services,0277.HK
Real Estate Services,0278.HK
Capital Markets,0279.HK
Luxury Goods,0280.HK
Electronic Components,0285.HK
Medical Care Facilities,0286.HK
Real Estate Services,0287.HK
Packaged Foods,0288.HK
Department Stores,0289.HK
Financial Conglomerates,0290.HK
Beverages—Brewers,0291.HK
Asset Management,0292.HK
Airlines,0293.HK
Apparel Manufacturing,0294.HK
Utilities—Renewable,0295.HK
Resorts & Casinos,0296.HK
Agricultural Inputs,0297.HK
Real Estate—Development,0298.HK
Capital Markets,0299.HK
Specialty Chemicals,0301.HK
Electronic Gaming & Multimedia,0302.HK
Communication Equipment,0303.HK
Auto Parts,0305.HK
Railroads,0306.HK
Leisure,0308.HK
Specialty Business Services,0309.HK
Asset Management,0310.HK
Apparel Manufacturing,0311.HK
Department Stores,0312.HK
Real Estate Services,0313.HK
Medical Distribution,0314.HK
Telecom Services,0315.HK
Marine Shipping,0316.HK
Aerospace & Defense,0317.HK
Information Technology Services,0318.HK
Consumer Electronics,0320.HK
Textile Manufacturing,0321.HK
Packaged Foods,0322.HK
Steel,0323.HK
Entertainment,0326.HK
Business Equipment & Supplies,0327.HK
Consumer Electronics,0328.HK
Capital Markets,0329.HK
Apparel Retail,0330.HK
Engineering & Construction,0331.HK
Oil & Gas Refining & Marketing,0332.HK
Apparel Manufacturing,0333.HK
Electronic Components,0334.HK
Capital Markets,0335.HK
Specialty Chemicals,0336.HK
Real Estate—Development,0337.HK
Oil & Gas Refining & Marketing,0338.HK
Asset Management,0339.HK
Gold,0340.HK
Restaurants,0341.HK
Oil & Gas Refining & Marketing,0342.HK
Advertising Agencies,0343.HK
Packaged Foods,0345.HK
Oil & Gas Integrated,0346.HK
Steel,0347.HK
Pharmaceutical Retailers,0348.HK
Marine Shipping,0351.HK
Real Estate Services,0352.HK
Oil & Gas Equipment & Services,0353.HK
Information Technology Services,0354.HK
Lodging,0355.HK
Capital Markets,0356.HK
Airports & Air Services,0357.HK
Copper,0358.HK
Beverages—Non-Alcoholic,0359.HK
Auto Parts,0360.HK
Leisure,0361.HK
Utilities—Regulated Electric,0362.HK
Conglomerates,0363.HK
Specialty Industrial Machinery,0365.HK
Building Materials,0366.HK
Real Estate Services,0367.HK
Engineering & Construction,0368.HK
Real Estate—Development,0369.HK
Specialty Retail,0370.HK
Utilities—Regulated Water,0371.HK
Capital Markets,0372.HK
Credit Services,0373.HK
Food Distribution,0374.HK
Apparel Retail,0375.HK
Insurance—Life,0376.HK
Specialty Chemicals,0377.HK
Credit Services,0379.HK
Home Improvement Retail,0380.HK
Leisure,0381.HK
Education & Training Services,0382.HK
Medical Care Facilities,0383.HK
Utilities—Regulated Gas,0384.HK
Engineering & Construction,0385.HK
Oil & Gas Integrated,0386.HK
Specialty Industrial Machinery,0387.HK
Financial Data & Stock Exchanges,0388.HK
Beverages—Wineries & Distilleries,0389.HK
Engineering & Construction,0390.HK
Entertainment,0391.HK
Conglomerates,0392.HK
Consulting Services,0393.HK
"Furnishings, Fixtures & Appliances",0396.HK
Financial Conglomerates,0397.HK
Luxury Goods,0398.HK
Household & Personal Products,0399.HK
Electronics & Computer Distribution,0400.HK
Medical Distribution,0401.HK
Packaging & Containers,0403.HK
REIT—Diversified,0405.HK
Engineering & Construction,0406.HK
Specialty Chemicals,0408.HK
Real Estate Services,0410.HK
Packaged Foods,0411.HK
Capital Markets,0412.HK
Leisure,0413.HK
Banks—Regional,0416.HK
Luxury Goods,0417.HK
Software—Application,0418.HK
Leisure,0419.HK
Textile Manufacturing,0420.HK
Recreational Vehicles,0422.HK
Publishing,0423.HK
Auto Parts,0425.HK
Conglomerates,0426.HK
Capital Markets,0428.HK
Real Estate Services,0430.HK
Credit Services,0431.HK
Real Estate Services,0432.HK
Chemicals,0433.HK
Electronic Gaming & Multimedia,0434.HK
REIT—Diversified,0435.HK
Waste Management,0436.HK
Solar,0438.HK
Aerospace & Defense,0439.HK
Banks—Regional,0440.HK
Luxury Goods,0442.HK
Luxury Goods,0444.HK
Specialty Business Services,0450.HK
Utilities—Renewable,0451.HK
Drug Manufacturers—Specialty & Generic,0455.HK
Real Estate—Development,0456.HK
Apparel Manufacturing,0458.HK
Real Estate Services,0459.HK
Drug Manufacturers—Specialty & Generic,0460.HK
Household & Personal Products,0464.HK
Information Technology Services,0465.HK
Oil & Gas E&P,0467.HK
Packaging & Containers,0468.HK
Electronics & Computer Distribution,0471.HK
Beverages—Wineries & Distilleries,0472.HK
Conglomerates,0474.HK
Solar,0475.HK
Recreational Vehicles,0476.HK
Auto Parts,0479.HK
Real Estate—Development,0480.HK
Communication Equipment,0482.HK
Apparel Retail,0483.HK
Electronic Gaming & Multimedia,0484.HK
Real Estate—Development,0485.HK
Aluminum,0486.HK
Travel Services,0487.HK
Real Estate—Diversified,0488.HK
Auto Manufacturers,0489.HK
Entertainment,0491.HK
Specialty Retail,0493.HK
Real Estate Services,0495.HK
Real Estate—Development,0496.HK
Real Estate—Diversified,0497.HK
Engineering & Construction,0498.HK
